gameId,total,maximo,minimo,margen,prorrogas,fecha,partido,estrella_gs,mvp,nota_igualdad,nota_ritmo,nota_ot,nota_estrella,KPI
0022500007,211,116,95,21,0,2025-10-27,DET vs CLE,23.900000000000002,Donovan Mitchell,0.0,0.18333333333333332,0.0,0.29666666666666675,9.8
0022500008,241,127,114,13,0,2025-10-27,MIN vs DEN,34.800000000000004,Nikola Jokić,0.35,0.6833333333333333,0.0,0.6600000000000001,39.0
0022500114,260,136,124,12,0,2025-10-27,PHI vs ORL,32.6,Tyrese Maxey,0.4,1.0,0.0,0.5866666666666667,40.6
0022500115,251,128,123,5,0,2025-10-27,CHI vs ATL,22.900000000000002,Nikola Vučević,0.75,0.85,0.0,0.2633333333333334,45.9
0022500116,246,137,109,28,0,2025-10-27,HOU vs BKN,20.9,Alperen Sengun,0.0,0.7666666666666667,0.0,0.19666666666666663,9.7
0022500117,212,122,90,32,0,2025-10-27,NOP vs BOS,17.8,Anfernee Simons,0.0,0.2,0.0,0.09333333333333335,3.8
0022500118,224,121,103,18,0,2025-10-27,SAS vs TOR,26.6,Victor Wembanyama,0.09999999999999998,0.4,0.0,0.3866666666666667,18.1
0022500119,195,101,94,7,0,2025-10-27,DAL vs OKC,23.499999999999996,Anthony Davis,0.65,0.0,0.0,0.2833333333333332,37.8
0022500120,272,138,134,4,1,2025-10-27,UTA vs PHX,40.70000000000001,Lauri Markkanen,0.8,1.0,0.7,0.856666666666667,80.7
0022500121,249,131,118,13,0,2025-10-27,GSW vs MEM,22.300000000000008,Jonathan Kuminga,0.35,0.8166666666666667,0.0,0.2433333333333336,27.1
0022500122,230,122,108,14,0,2025-10-27,LAL vs POR,28.900000000000006,Austin Reaves,0.30000000000000004,0.5,0.0,0.46333333333333354,29.9
0022500123,273,139,134,5,1,2025-10-28,WAS vs PHI,29.5,Tyrese Maxey,0.75,1.0,0.7,0.48333333333333334,67.3
0022500124,261,144,117,27,0,2025-10-28,MIA vs CHA,24.1,Jaime Jaquez Jr.,0.0,1.0,0.0,0.3033333333333334,14.1
0022500125,232,121,111,10,0,2025-10-28,MIL vs NYK,32.49999999999999,Giannis Antetokounmpo,0.5,0.5333333333333333,0.0,0.5833333333333331,42.7
0022500126,208,107,101,6,0,2025-10-28,OKC vs SAC,25.2,Shai Gilgeous-Alexander,0.7,0.13333333333333333,0.0,0.33999999999999997,42.4
0022500127,177,98,79,19,0,2025-10-28,GSW vs LAC,21.0,Jimmy Butler III,0.050000000000000044,0.0,0.0,0.2,8.3
0022500128,230,125,105,20,0,2025-10-29,BOS vs CLE,23.199999999999996,Jaylen Brown,0.0,0.5,0.0,0.2733333333333332,10.7
0022500129,251,135,116,19,0,2025-10-29,DET vs ORL,31.499999999999996,Cade Cunningham,0.050000000000000044,0.85,0.0,0.5499999999999999,23.0
0022500130,229,117,112,5,0,2025-10-29,BKN vs ATL,23.999999999999996,Michael Porter Jr.,0.75,0.48333333333333334,0.0,0.2999999999999999,45.2
0022500131,260,139,121,18,0,2025-10-29,TOR vs HOU,26.799999999999994,Scottie Barnes,0.09999999999999998,1.0,0.0,0.39333333333333315,21.3
0022500132,239,126,113,13,0,2025-10-29,CHI vs SAC,24.1,Zach LaVine,0.35,0.65,0.0,0.3033333333333334,28.1
0022500133,212,107,105,2,0,2025-10-29,DAL vs IND,17.1,Pascal Siakam,0.9,0.2,0.0,0.07000000000000005,43.6
0022500134,210,122,88,34,0,2025-10-29,DEN vs NOP,24.299999999999997,Nikola Jokić,0.0,0.16666666666666666,0.0,0.3099999999999999,10.1
0022500135,270,136,134,2,0,2025-10-29,UTA vs POR,28.499999999999996,Lauri Markkanen,0.9,1.0,0.0,0.4499999999999999,59.0
0022500136,231,116,115,1,0,2025-10-29,MIN vs LAL,25.5,Julius Randle,0.95,0.5166666666666667,0.0,0.35,55.8
0022500137,227,114,113,1,0,2025-10-29,PHX vs MEM,22.2,Mark Williams,0.95,0.45,0.0,0.23999999999999996,52.2
0022500138,230,123,107,16,0,2025-10-30,CHA vs ORL,22.8,Paolo Banchero,0.19999999999999996,0.5,0.0,0.26,19.3
0022500139,230,120,110,10,0,2025-10-30,MIL vs GSW,25.6,Ryan Rollins,0.5,0.5,0.0,0.3533333333333334,35.6
0022500140,235,127,108,19,0,2025-10-30,OKC vs WAS,27.499999999999996,Shai Gilgeous-Alexander,0.050000000000000044,0.5833333333333334,0.0,0.4166666666666666,17.7
0022500141,208,107,101,6,0,2025-10-30,SAS vs MIA,24.8,Victor Wembanyama,0.7,0.13333333333333333,0.0,0.3266666666666667,42.0
0022500020,236,128,108,20,0,2025-10-31,IND vs ATL,25.200000000000003,Jalen Johnson,0.0,0.6,0.0,0.3400000000000001,13.2
0022500021,217,109,108,1,0,2025-10-31,PHI vs BOS,27.800000000000004,Tyrese Maxey,0.95,0.2833333333333333,0.0,0.4266666666666668,57.0
0022500022,213,112,101,11,0,2025-10-31,CLE vs TOR,25.9,Evan Mobley,0.44999999999999996,0.21666666666666667,0.0,0.3633333333333333,32.2
0022500023,260,135,125,10,0,2025-10-31,CHI vs NYK,31.2,Josh Giddey,0.5,1.0,0.0,0.5399999999999999,43.7
0022500024,229,117,112,5,0,2025-10-31,MEM vs LAL,31.5,Luka Dončić,0.75,0.48333333333333334,0.0,0.55,52.7
0022500025,214,118,96,22,0,2025-10-31,PHX vs UTA,31.700000000000003,Devin Booker,0.0,0.23333333333333334,0.0,0.5566666666666668,17.9
0022500026,216,109,107,2,0,2025-10-31,POR vs DEN,26.3,Nikola Jokić,0.9,0.26666666666666666,0.0,0.3766666666666667,53.1
0022500027,250,126,124,2,0,2025-10-31,LAC vs NOP,35.400000000000006,Kawhi Leonard,0.9,0.8333333333333334,0.0,0.6800000000000002,65.1
0022500142,268,135,133,2,0,2025-11-01,MIL vs SAC,28.1,Giannis Antetokounmpo,0.9,1.0,0.0,0.4366666666666667,58.6
0022500143,227,122,105,17,0,2025-11-01,CHA vs MIN,26.8,Miles Bridges,0.15000000000000002,0.45,0.0,0.39333333333333337,20.8
0022500144,223,114,109,5,0,2025-11-01,IND vs GSW,29.2,Quenton Jackson,0.75,0.38333333333333336,0.0,0.47333333333333333,49.9
0022500145,219,125,94,31,0,2025-11-01,WAS vs ORL,25.2,Paolo Banchero,0.0,0.31666666666666665,0.0,0.33999999999999997,11.8
0022500146,229,128,101,27,0,2025-11-01,BOS vs HOU,22.9,Kevin Durant,0.0,0.48333333333333334,0.0,0.2633333333333333,10.3
